monitoring_location_id,time_series_id,site_name,block_index,block_start,block_end,reference_points,minimum_DO_mgL,maximum_DO_mgL,reference_occupation_hours,reference_deficit_mgL_hours,reference_max_slope_mgL_per_hour,reference_L_compatible
USGS-01646500,bb18f3558934465194f8da1d5f1c3df3,"POTOMAC RIVER NEAR WASH, DC LITTLE FALLS PUMP STA",1,2024-06-14 17:30:00+00:00,2024-06-21 17:30:00+00:00,673,6.7,11.1,0.0,0.0,1.6000000000000014,True
USGS-01646500,bb18f3558934465194f8da1d5f1c3df3,"POTOMAC RIVER NEAR WASH, DC LITTLE FALLS PUMP STA",2,2024-06-21 17:45:00+00:00,2024-06-28 17:45:00+00:00,673,6.6,10.9,0.0,0.0,2.4000000000000057,True
USGS-01646500,bb18f3558934465194f8da1d5f1c3df3,"POTOMAC RIVER NEAR WASH, DC LITTLE FALLS PUMP STA",3,2024-07-01 14:30:00+00:00,2024-07-08 14:30:00+00:00,673,4.2,16.3,7.25,3.7,11.200000000000003,True
USGS-01649190,42075f9554bd4ee0b1909d52959482ae,"PAINT BRANCH NEAR COLLEGE PARK, MD",0,2024-06-12 15:30:00+00:00,2024-06-19 15:30:00+00:00,673,7.7,9.3,0.0,0.0,0.4000000000000057,True
USGS-01649190,42075f9554bd4ee0b1909d52959482ae,"PAINT BRANCH NEAR COLLEGE PARK, MD",1,2024-06-19 15:45:00+00:00,2024-06-26 15:45:00+00:00,673,7.2,8.7,0.0,0.0,0.8000000000000007,True
USGS-01649190,42075f9554bd4ee0b1909d52959482ae,"PAINT BRANCH NEAR COLLEGE PARK, MD",2,2024-06-30 22:15:00+00:00,2024-07-07 22:15:00+00:00,673,6.9,8.8,0.0,0.0,0.8000000000000007,True
USGS-01649190,42075f9554bd4ee0b1909d52959482ae,"PAINT BRANCH NEAR COLLEGE PARK, MD",3,2024-08-04 19:45:00+00:00,2024-08-11 19:45:00+00:00,673,6.7,8.3,0.0,0.0,0.8000000000000007,True
USGS-01649500,80262e6c200045eb8755f9f1780b799b,"NORTHEAST BRANCH ANACOSTIA RIVER AT RIVERDALE, MD",0,2024-06-01 00:00:00+00:00,2024-06-08 00:00:00+00:00,673,2.4,13.2,38.38303571428571,56.51858630952381,12.0,True
USGS-01649500,80262e6c200045eb8755f9f1780b799b,"NORTHEAST BRANCH ANACOSTIA RIVER AT RIVERDALE, MD",1,2024-06-10 14:15:00+00:00,2024-06-17 14:15:00+00:00,673,2.6,12.8,35.50775401069519,53.915026737967914,6.800000000000001,True
USGS-01649500,80262e6c200045eb8755f9f1780b799b,"NORTHEAST BRANCH ANACOSTIA RIVER AT RIVERDALE, MD",2,2024-06-17 14:30:00+00:00,2024-06-24 14:30:00+00:00,673,3.5,11.1,50.24583333333334,19.352708333333332,4.0,True
USGS-01649500,80262e6c200045eb8755f9f1780b799b,"NORTHEAST BRANCH ANACOSTIA RIVER AT RIVERDALE, MD",3,2024-06-24 14:45:00+00:00,2024-07-01 14:45:00+00:00,673,3.7,12.6,21.15625,16.1546875,5.200000000000003,True
USGS-01650800,d4a0194d99aa4663b9c935003d7ed3f0,"SLIGO CREEK NEAR TAKOMA PARK, MD",0,2024-06-01 00:00:00+00:00,2024-06-08 00:00:00+00:00,673,6.5,8.8,0.0,0.0,1.1999999999999993,True
USGS-01650800,d4a0194d99aa4663b9c935003d7ed3f0,"SLIGO CREEK NEAR TAKOMA PARK, MD",1,2024-06-08 00:15:00+00:00,2024-06-15 00:15:00+00:00,673,6.8,9.1,0.0,0.0,0.8000000000000007,True
USGS-01650800,d4a0194d99aa4663b9c935003d7ed3f0,"SLIGO CREEK NEAR TAKOMA PARK, MD",2,2024-06-15 00:30:00+00:00,2024-06-22 00:30:00+00:00,673,7.0,8.4,0.0,0.0,0.4000000000000057,True
USGS-01650800,d4a0194d99aa4663b9c935003d7ed3f0,"SLIGO CREEK NEAR TAKOMA PARK, MD",3,2024-06-22 00:45:00+00:00,2024-06-29 00:45:00+00:00,673,6.4,8.6,0.0,0.0,1.1999999999999993,True
